,Unnamed: 0,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url,video,profile_image_url
0,1.0,1127935635400957954,1127935635400957954,1557755786000,2019-05-13,20:56:26,WIB,2262992802,mirza_husainiy,Mirza Quanta Ahady H,,Disadari atau tidak Kadang apa yg kita lihat sebagai “kerusakan” / penyimpangan itu sebenarnya karena ulah kita sendiri  Kita boleh sedih sampe pengen bunuh diri Apa dengan gitu selesai?  Bangkit lah Itu hanya sebagian kecil kehidupan Yo ngono kui urip 😅 seru kan?,,[],[],0,0,0,,[],https://twitter.com/mirza_husainiy/status/1127935635400957954,,,0,https://pbs.twimg.com/profile_images/896707936008810496/axlDn_bp.jpg
1,2.0,1127933327736881152,1127926425296617472,1557755235000,2019-05-13,20:47:15,WIB,839082153677725697,lvlia00,ʚ ʟɪᴀ ɞ,,Huhu berasa liat orang diputusin pacar lewat telfon terus pengen bunuh diri aja rasanya. Acting nya bagus 👏👏  pic.twitter.com/eR3YQnXrRO,,[],['https://pbs.twimg.com/media/D6c5YDlU0AA9ont.jpg'],1,0,0,,[],https://twitter.com/LVLIA00/status/1127933327736881152,,,0,https://pbs.twimg.com/profile_images/1124230039678021633/_dRnoVSf.jpg
2,7.0,1127650851529453568,1127648432976326657,1557687888000,2019-05-13,02:04:48,WIB,1052774662801784832,yeacryn,obyn #MILLARDALEBACK #ADVISBACK,,"jangan pernah menyerah yaaahh, sekalipun km bunuh diri yang rugi dikamu jugaaa:) hilangin pikiran itu okeee, banyak yg sayang sama kamu banyak yang masih pengen lihat kamu. jangan pernah menyeraaah, ingat banyak orang yg pengen melanjutkan hidup! semangaaat!!!",['rpautobase'],[],[],0,0,0,,[],https://twitter.com/yeacryn/status/1127650851529453568,,,0,https://pbs.twimg.com/profile_images/1127841278299762689/WuaYEFfS.jpg
3,24.0,1127262863112974338,1127210272848891905,1557595384000,2019-05-12,00:23:04,WIB,967450696692899840,sszc_01,Zasvicha,,Pasti sudah ga bisa tidur tuh anak.. semoga aja ga bunuh diri. Pengen tau ketika di tangkap nnt,"['hana_4taa', 'sirodjudin01', 'rizmawidiono', 'guecebongs', '4y4nkz', '_______b1g__k4y', 'ariantobulolo', 'badjanuswantara', 'nanedianti', '99armyk', 'alin7_11', 'andyarch77', 'darmogaty', 'anto_winarno']",[],[],5,3,16,,[],https://twitter.com/SSZC_01/status/1127262863112974338,,,0,https://pbs.twimg.com/profile_images/1046423512347340800/Y1Esmd01.jpg
4,31.0,1126894271368314882,1126867496454082560,1557507505000,2019-05-10,23:58:25,WIB,3396925817,ayukurniasihh,🍩🍫🍞🍔🍗🍜🌭🍦🍨🍷🍶☕,,jare pengen bunuh diri,['skkkrrrrttt'],[],[],1,0,0,,[],https://twitter.com/ayukurniasihh/status/1126894271368314882,,,0,https://pbs.twimg.com/profile_images/1126065348715765760/Bpurh_pM.jpg
5,35.0,1126857941947015168,1126850745376972800,1557498844000,2019-05-10,21:34:04,WIB,1048593887281868802,thegr8tasha,laf,,"inget amal, amal ga seberapa aja sok2an pengen bunuh diri",['tanya2rl'],[],[],0,0,0,,[],https://twitter.com/thegr8tasha/status/1126857941947015168,,,0,https://pbs.twimg.com/profile_images/1126879281177489408/EZjUh5MW.jpg
6,36.0,1126848615287144448,1126848003048857600,1557496620000,2019-05-10,20:57:00,WIB,1034118334889902083,emsubhann_,Subhan,,Kon frustasi atau pengen bunuh diri monggo,['dikars_'],[],[],1,0,0,,[],https://twitter.com/emsubhann_/status/1126848615287144448,,,0,https://pbs.twimg.com/profile_images/1042056863645233152/2-SyujcF.jpg
7,39.0,1126670738734194688,1126670738734194688,1557454211000,2019-05-10,09:10:11,WIB,2652907023,pathingy,/pat - PENGGANTI RLTHINGY - CEK PINNED,,/pat temenku gatau knp tiap lagi ngobrol sering nyinggung2 dia pengen bunuh diri. Itu dia beneran atau ga sih? Klo aku liat dia baik2 aja. Tapi kenapa sering ngomong dia pengen bunuh diri ya??,,[],[],15,0,0,,[],https://twitter.com/pathingy/status/1126670738734194688,,,0,https://pbs.twimg.com/profile_images/1119229930028404736/uTaf5QV_.jpg
8,41.0,1126616157358714880,1126471768841932800,1557441198000,2019-05-10,05:33:18,WIB,1017939924,aadhmusic_dadan,Dadan Hamdani,,"tangkap..  jgn pernah diliput media,pengen terkenal dgn cara bunuh diri.kaya pelaku BOM saja nih org dah gelap mata tuk raih tujuan .inget ye  ..surat alfathir ayat 43 Rencana jahat takan menimpa kecuali yg mrncanakanya sendiri","['jayabay19479190', 'hanjenif']",[],[],0,0,0,,[],https://twitter.com/aadhmusic_dadan/status/1126616157358714880,,,0,https://pbs.twimg.com/profile_images/1124274659262746624/oszeFUoS.jpg
9,43.0,1126523846599663617,1126523846599663617,1557419189000,2019-05-09,23:26:29,WIB,3018192458,yippietaetae,Nom Nom 🐾,,Pas liat taehyung rambut item itu serasa pengen bunuh diri di tol layang. Terlalu ganteng anjir. Rahim gua bergetar cuy T~T Buat Taehyung @BTS_twt jangan ganteng ganteng mas diriku gakuad :(,['bts_twt'],[],[],0,0,0,,[],https://twitter.com/Yippietaetae/status/1126523846599663617,,,0,https://pbs.twimg.com/profile_images/1126363778444959744/fKgrL5Rx.jpg
10,44.0,1126512444673646594,1126510160581541896,1557416471000,2019-05-09,22:41:11,WIB,1073264596708818944,yournicxrn,milo,,"km bahagia. sedikit2 bangkit yah nder, aku yakin km bisa. aku bisaa bangkit dr yg aku pengen banget mati bunuh diri kmaren gasemangat ngapa2in tp skrg aku bahagia bgt. suatu saat pasti km bakal nemuin hal baik dr knp km dijauhin dr dia, smg km bahagia trs yaa nder",['askfess'],[],[],1,0,0,,[],https://twitter.com/yournicxrn/status/1126512444673646594,,,0,https://pbs.twimg.com/profile_images/1127747850031357953/IpMu3G6L.jpg
11,45.0,1126488475962728448,1124998602059702272,1557410756000,2019-05-09,21:05:56,WIB,1092588173450870784,rahasiaillahi01,Abdullah,,"Mabuk agama itu kayak gimana sob? Coba saya pengen tau? Nanti saya intropeksi diri. klo memang saya mabuk agama, yaudah sini bunuh saya..",['marnombois'],[],[],0,0,0,,[],https://twitter.com/rahasiaillahi01/status/1126488475962728448,,,0,https://pbs.twimg.com/profile_images/1111404343649984513/DPWIiDte.jpg
12,47.0,1126438515812622336,1126408706390757376,1557398845000,2019-05-09,17:47:25,WIB,1106173679036035074,weje09667293,Weje,,Ga jadi pengen bunuh diri dunk !!!,['kompascom'],[],[],0,0,0,,[],https://twitter.com/Weje09667293/status/1126438515812622336,,,0,https://pbs.twimg.com/profile_images/1106176391916150785/ZUBsYRXo.jpg
13,48.0,1126354951855165440,1126354951855165440,1557378921000,2019-05-09,12:15:21,WIB,4683083358,atiendhie88,dhie8899,,"Jaman sekarang teroris kejahatanya bukan meneror kaya bom bunuh diri,  tapi bawa kabur lembar c1. Pengen ketawa takut lemes,  habis cairan 😂😂 #KamiBersamaFPI pic.twitter.com/9H6HOk8OWH",,[],['https://pbs.twimg.com/media/D6Gd2f2UUAAd2y-.jpg'],0,0,1,,['#kamibersamafpi'],https://twitter.com/atiendhie88/status/1126354951855165440,,,0,https://pbs.twimg.com/profile_images/1126005576255721473/JFoEjuKP.jpg
14,57.0,1126117061116088321,1126117061116088321,1557322204000,2019-05-08,20:30:04,WIB,465375962,mh_muhammadhady,MHady,,""" seorang pemuda nekad melakukan aksi bunuh diri karna pengen cpat2 masuk surga""",,[],[],0,0,0,,[],https://twitter.com/MH_MuhammadHady/status/1126117061116088321,,,0,https://pbs.twimg.com/profile_images/931238840236261376/ntdQFNF3.jpg
15,58.0,1126111322184142848,1126105811858518018,1557320836000,2019-05-08,20:07:16,WIB,1117643106340311041,keyathenaa,dramaqueen.,,Pengen bunuh orang yg gatau diri,['tanya2rl'],[],[],0,0,0,,[],https://twitter.com/keyathenaa/status/1126111322184142848,,,0,https://pbs.twimg.com/profile_images/1127009928906805248/6f9tVbs1.jpg
16,12.0,1125405735473385474,1125402131106680832,1557152611000,2019-05-06,21:23:31,WIB,156190561,oustypaskalis,Ousty Paskalis,,"Hahaha sbnrnya gue udh pengen nonton dari lama, kirain serem, ternyata sedih😭 anaknya yg mati lucu bgt juga, Mon🙃  Nggak sabar gue sama part II, masih penasarannn😅",['tiomonick'],[],[],1,0,0,,[],https://twitter.com/oustypaskalis/status/1125405735473385474,,,0,https://pbs.twimg.com/profile_images/1102431100079501312/7dpre-aq.jpg
17,13.0,1125348717786058752,1125323896813547521,1557139016000,2019-05-06,17:36:56,WIB,1125347056619409408,bb069,🐶,,Kenapa pengen #GalaxyM10 karena pengen ganti  hp kakkk:(((((((( hp ku kadang suka ngelag dan suka mati ngedadak huhu sedih kannnnnnnnn😭  Semoga semoga menangg karna #GalaxyM10 adalah takdirku haha😂 #sobatantilowbat #debrigiveaway,['debrisumule'],[],[],0,0,0,,"['#galaxym10', '#galaxym10', '#sobatantilowbat', '#debrigiveaway']",https://twitter.com/Bb069/status/1125348717786058752,,,0,https://pbs.twimg.com/profile_images/1125347166782779394/ezCcR5jU.jpg
18,18.0,1124140253193748480,1124140253193748480,1556850896000,2019-05-03,09:34:56,WIB,948160260966985730,amorfati_787,D!t 🌹,,"Aku tadinya mati matian gak mau mereka pisah pokoknya tetep harus sama sama terus. Tapi kalau dipikir lagi itu egois banget. Mereka tetep berusaha biar fans gak sedih tapi disatu sisi aku tau mereka pengen coba jalan baru. Apapun itu, I will always support you my girls! ❤",,[],[],0,0,0,,[],https://twitter.com/AmorFati_787/status/1124140253193748480,,,0,https://pbs.twimg.com/profile_images/1127541806890012672/RJ3kaJug.jpg
