id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url,video,profile_image_url
1121771458563149824,1121771458563149824,1556286131000,2019-04-26,20:42:11,SE Asia Standard Time,1027752478295482368,rhahma4,Rhahma,,"[26 April 2019 08.40 PM] Pusing,kesel,marah,kecewa,sedih,benci. Pengen teriak ke dia kalo gue kalah. Gue kalah sama perasaan yang selama ini pengen gue pendem aja. Gak tau harus gimana? Cerita kesiapa?!!",,[],[],0,0,0,,[],https://twitter.com/Rhahma4/status/1121771458563149824,,,0,https://pbs.twimg.com/profile_images/1126083991323340801/jBKCZOyh.jpg
1119968216879489024,1119968216879489024,1555856205000,2019-04-21,21:16:45,SE Asia Standard Time,2904211050,dellvitaa,dellavita,,homesick   -> ya allah pengen sambat terus.  pengen balik.  kangen.  pusing.  sudah lelah.  gatau harus berbuat apa.  kuliah gada tenaga.  pikiran rumah terus.  ga napsu ngapa ngapain.  capek.  kesel. benci.   - aku.,,[],[],0,0,0,,[],https://twitter.com/dellvitaa/status/1119968216879489024,,,0,https://pbs.twimg.com/profile_images/1126618633226993664/IFWkn9db.jpg
1114398661931180033,1114398661931180033,1554528320000,2019-04-06,12:25:20,SE Asia Standard Time,813232129614057472,agniishafaaa,Agni Shafarina,,"kalo kita lagi kesel,benci sama orang. klo dibikin thread boleh ga yaa?  berantem2 lah pusing.",,[],[],0,0,1,,[],https://twitter.com/Agniishafaaa/status/1114398661931180033,,,0,https://pbs.twimg.com/profile_images/1072023438389202944/fiS-DpSd.jpg
1112380846537736192,1112380846537736192,1554047235000,2019-03-31,22:47:15,SE Asia Standard Time,847483819527610371,yunggiee,ara🌻,,joon gue benci lo bodoamat gue pusing kesel ganteNG BGT MONYEDDD GUE PUSING  pic.twitter.com/HWfiiWvhIx,,[],['https://pbs.twimg.com/media/D2_4c9EVAAID69B.jpg'],0,0,0,,[],https://twitter.com/yunggiee/status/1112380846537736192,,,0,https://pbs.twimg.com/profile_images/1117457504584159233/4h5J85cV.jpg
1107257973733113857,1107257973733113857,1552825847000,2019-03-17,19:30:47,SE Asia Standard Time,1040828376854876162,hhjmatchalatte,shifffff🚀,,pasrah sama usbn kimia anjir kesel ga ngerti ngerti mana udah pusing banget hngg benci kimia,,[],[],1,0,0,,[],https://twitter.com/hhjmatchalatte/status/1107257973733113857,,,0,https://pbs.twimg.com/profile_images/1112273620259135489/GUF3mERk.jpg
1105442892640710656,1105442892640710656,1552393098000,2019-03-12,19:18:18,SE Asia Standard Time,1091599172141109249,bac000d,ba,,"fisika, ak benci bgt sm km tp bsk ak ngamau kebingungan nga bisa ngerjain km tp ak pusing bgt baca materi km. ak kesel sm km.",,[],[],1,0,0,,[],https://twitter.com/bac000d/status/1105442892640710656,,,0,https://pbs.twimg.com/profile_images/1127318866030252032/RDwmsJec.jpg
1100406291954946050,1100406291954946050,1551192279000,2019-02-26,21:44:39,SE Asia Standard Time,1091718723365363713,woodygidaw,terserah,,"Sedih-bete-galau-gabut-ceneh-kesel-sebel-benci-ripuh-glisa-kiati-kangen-rindu-insom-sakit-pusing kepala,pundak,lutut kaki,lutut kaki. 🎶",,[],[],1,0,0,,[],https://twitter.com/woodygidaw/status/1100406291954946050,,,0,https://pbs.twimg.com/profile_images/1122124097901584384/zo2cHQzj.jpg
1098519895870853120,1098519895870853120,1550742527000,2019-02-21,16:48:47,SE Asia Standard Time,1096977308139704321,andrihirata3,andri hirata,,Ini cerita tentang pahit nya hidup nyari duit pusing sampe jidat mengkerut... Mendingan gw langsung pergi cabut main judi bareng tutut.. Biarin aja semua orang pada benci gw bakal gini sampe gw mati... Dimulai hari ini sampe besok pagi ada aja problem bikin gw kesel lagi.ajeee de,,[],[],0,0,0,,[],https://twitter.com/andrihirata3/status/1098519895870853120,,,0,https://pbs.twimg.com/profile_images/1097819950524227585/M1nUtbwE.jpg
1092722763469512704,1092722763469512704,1549360383000,2019-02-05,16:53:03,SE Asia Standard Time,83568686,anadasalsa,salsabill,,ahilahh kesel bgt rasanya kalo nyokap udah makan duren baunya kemana mana rasanya pusing bgt! ah benci bgt!,,[],[],0,0,1,,[],https://twitter.com/anadasalsa/status/1092722763469512704,,,0,https://pbs.twimg.com/profile_images/1098256918945062913/CjR17Ig7.jpg
1090188351133511680,1090187898987569152,1548756132000,2019-01-29,17:02:12,SE Asia Standard Time,1073506328864157696,pqrosiey,[SH] Rosie nunnα 𝙱𝚁𝟼,,"aku lgi pusing bgt sm urusan sekolah yg lagi gencar-gencarnya bersaing😭 semua nilai itu harus perfect! kesel! mentang-mentang ada di tempat orang pinter, aku di labelkan harus sempurna. benci. stress mulu.",['rpebase'],[],[],0,0,0,,[],https://twitter.com/pqrosiey/status/1090188351133511680,,,0,https://pbs.twimg.com/profile_images/1127326512519073793/U6vWwV24.jpg
1084466995695779845,1084466988569620480,1547392054000,2019-01-13,22:07:34,SE Asia Standard Time,917951877395779584,gna_seongwoo,"立花, Kazuo [LH]",,< #Gang6Fact Kazuo nggak pernah benci sama Meijian meskipun tingkahnya memang bikin pusing. Kesel sering. Bencinya itu nggak bisa. Ujung-ujungnya cuma tetep iya-iya aja. >,,[],[],1,0,0,,['#gang6fact'],https://twitter.com/gna_seongwoo/status/1084466995695779845,,,0,https://pbs.twimg.com/profile_images/1128278086930223105/jLqWeVq4.jpg
1081429762675945472,1081429762675945472,1546667922000,2019-01-05,12:58:42,SE Asia Standard Time,2989166553,millls_,mila,,Parahdaaa semakin Hari gue semakin benci Kim Jongin huuu. Kemaren liat standee nya di natrep kesel bgt anjeeeeer. Bkn kesel dating. Kesel mengkhianati tetehku wkwkkw. Tapi dia bias gue. Ah pusing,,[],[],0,0,0,,[],https://twitter.com/millls_/status/1081429762675945472,,,0,https://pbs.twimg.com/profile_images/1123608468324114437/VXSPv6L2.jpg
1080863456620728320,1080852602982559744,1546532904000,2019-01-03,23:28:24,SE Asia Standard Time,608860476,nadhhf,ndf🐰,,"waaw kamu hebatt nderr, jangan benci ayahmu yaa, mungkin dia lagi kesel/pusing/emosi dan ga stabil, jadi kamu turutin aja dan jangan mengeluh, semangat teruss lama2 ayahmu mengerti kokk, big hugg🤗",['ohmybeautybank'],[],[],0,0,0,,[],https://twitter.com/nadhhf/status/1080863456620728320,,,0,https://pbs.twimg.com/profile_images/1027523324128051200/9AKWAhxG.jpg
1077828359348936704,1077826400826974209,1545809280000,2018-12-26,14:28:00,SE Asia Standard Time,1022488408571097089,kyutgrul,cica,,"Hadeh abang gue annoying bgt nder, suka nyanyi gajelas mana suaranya ancur bgt pls pusing dengernya :( dan yg plg gue benci dia suka meperin upilnya ke gueeee bgst bgt kan??? suka nangis gue saking kesel nya",['askmenfess'],[],[],0,0,0,,[],https://twitter.com/kyutgrul/status/1077828359348936704,,,0,https://pbs.twimg.com/profile_images/1127325320950894592/2j-2KrYn.jpg
1077755978722861056,1077755978722861056,1545792023000,2018-12-26,09:40:23,SE Asia Standard Time,1007901538646290432,soolareclipse,☀️,,"gua benci bgt kenapa si apa apa nangis, seneng nangis, sedih nangis, kesel nangis. Pusing bgt kepala",,[],[],0,0,0,,[],https://twitter.com/soolareclipse/status/1077755978722861056,,,0,https://pbs.twimg.com/profile_images/1076643722186506240/tVk7kfzu.jpg
1075286397446025216,1075286397446025216,1545203229000,2018-12-19,14:07:09,SE Asia Standard Time,831889662901760000,anakgembila,ayo jadi,,Aku gapapa kok. Cuma lagi laper pusing sedih ngantuk capek khawatir takut kesel kecewa depresi frustrasi bingung dan benci sama diri sendiri aja.,,[],[],1,0,0,,[],https://twitter.com/anakgembila/status/1075286397446025216,,,0,https://pbs.twimg.com/profile_images/1122479163607146501/Hm6LWjSF.jpg
1063785328392196096,1063785328392196096,1542461161000,2018-11-17,20:26:01,SE Asia Standard Time,1264004718,nabilahsyaufii,Nasya,,"Bagaimana cara kamu menghadapi orang yang kamu tidak sukai? — Tetep baik aja sama orang itu walaupun kita gak suka sama orang itu. Jangan di ambil pusing dan jangan dibawa kesel, nanti yang ada malah jadi benci. Jadi jalanin aja  https://lap78.ask.fm/igoto/45DKECPW7B667HQMHN2IG6NM6GED7JAWQP5PPENRBPWKZ67UYYWNCII2NUENOQRXK2ZP4FQBIBWT4VSVRUY7O5MSPLULNAZXWREADFTCCFVDONHVGWJC2I65SC23XSD6SC5ISMIPQTLXHFUMIGLAGX326HMH56EUQ7GU5YS3R2R3Y7WPAFTGFD7N5VUKNNGOYN6IYIC2UNE7XETWDU4FEH6AGDEA==== …",,['https://lap78.ask.fm/igoto/45DKECPW7B667HQMHN2IG6NM6GED7JAWQP5PPENRBPWKZ67UYYWNCII2NUENOQRXK2ZP4FQBIBWT4VSVRUY7O5MSPLULNAZXWREADFTCCFVDONHVGWJC2I65SC23XSD6SC5ISMIPQTLXHFUMIGLAGX326HMH56EUQ7GU5YS3R2R3Y7WPAFTGFD7N5VUKNNGOYN6IYIC2UNE7XETWDU4FEH6AGDEA===='],[],0,0,0,,[],https://twitter.com/nabilahsyaufii/status/1063785328392196096,,,0,https://pbs.twimg.com/profile_images/767165127091073024/vzgLUMsP.jpg
1054347924681895936,1054347126681915393,1540211108000,2018-10-22,19:25:08,SE Asia Standard Time,1215738740,rumnurrum,Caramel,,Gak ambil pusing sih. Cuman kesel aja gitu. Gemeess benci amat. Kok gak malu sama umur woy. Jahat banget jadi manusia!!!,,[],[],2,0,0,,[],https://twitter.com/rumnurrum/status/1054347924681895936,,,0,https://pbs.twimg.com/profile_images/1122864696665575424/9ld6DL8W.jpg
