id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url,video,profile_image_url
1128742458081173504,1128734509476732928,1557948147000,2019-05-16,02:22:27,SE Asia Standard Time,345846567,lulupalupi13,Lulu Palupi,,Dari pelajaran ini sih gue mikir kayak gue berusaha cari pengganti mantan gue si “A” itu susah sampe akhirnya gue hati gue yg menuntun gue balik lg ke mantan gue itu HAHAHA tp gabalikan yess cuma gue mikir udahlah pasrah aja gausah terburu2,,[],[],0,0,0,,[],https://twitter.com/LuluPalupi13/status/1128742458081173504,,,0,https://pbs.twimg.com/profile_images/1121798406609838081/CJF88LRT.jpg
1128302203364470784,1127577309249097729,1557843182000,2019-05-14,21:13:02,SE Asia Standard Time,68084799,dittazharra,princess,,"Hahaha yess mak, aku juga gonta ganti skincare dr klinik satu ke yang lain, akhirnya sembuh di erha. Dokternye gercep suru ini itu aku manut ya cpet juga jerawat pergi 😄. Tapi brenti tepat 1 bulan mo kawin keterusan hamil. Yang bertahan kepake sampe cuman bedak. Esme enk bgt 💜",['mdevanaw'],[],[],0,0,0,,[],https://twitter.com/dittazharra/status/1128302203364470784,,,0,https://pbs.twimg.com/profile_images/916982777924300801/-FT19zZ8.jpg
1124337147199098882,1124336307277160449,1556897839000,2019-05-03,22:37:19,SE Asia Standard Time,1027312393796218880,dreambluelf,☁シファ,,Entar kasih tahu yess seru gak hahaha Mau nonton hangyul tp kok aku sudah lelah sama survival. Wondenain pun akhirnya gak ke sentuh samsek,['anggyy90'],[],[],0,0,0,,[],https://twitter.com/dreambluelf/status/1124337147199098882,,,0,https://pbs.twimg.com/profile_images/1131446368709464064/FgWDQ0tP.jpg
1117712066867916800,1117673163263893504,1555318297000,2019-04-15,15:51:37,SE Asia Standard Time,374361688,yusuf_widi,Yusuf widi,,Hahaha yess akhirnya ada yang bilang aku jahat.,['prilianti_cicie'],[],[],1,0,1,,[],https://twitter.com/yusuf_widi/status/1117712066867916800,,,0,https://pbs.twimg.com/profile_images/1111425252637052929/m0LbscMQ.jpg
1113447333973221376,1113447333973221376,1554301505000,2019-04-03,21:25:05,SE Asia Standard Time,183409095,allrisevina,☢DI GOMBALIN iKON☢,,Yess akhirnya kasih pencerahan ke orng hari ini...  Jiwa penasehatku bangkit... hahaha,,[],[],0,0,0,,[],https://twitter.com/AllRiseVina/status/1113447333973221376,,,0,https://pbs.twimg.com/profile_images/1126105800257069056/Ik0L1y--.jpg
1112753947339456512,1112752948415594496,1554136189000,2019-04-01,23:29:49,SE Asia Standard Time,1067255297155026944,sigoblox,hayolo,,"Ahaha. Suka ya baca sambatnya orang Akhirnya mikir Yess, ternyata ada yg idupnya lebih sengsara dr aku haha",['scarlettflynnn'],[],[],1,0,0,,[],https://twitter.com/sigoblox/status/1112753947339456512,,,0,https://pbs.twimg.com/profile_images/1132644141081346048/th7tnCrY.jpg
1108218878713188353,1108218013566681089,1553054945000,2019-03-20,11:09:05,SE Asia Standard Time,902320714027491328,weleh32,Kang otoF,,Yess akhirnya hahaha.. mmng tak tergantikan kali udah nyaman hahaha,['fanbasebokep2'],[],[],1,0,0,,[],https://twitter.com/weleh32/status/1108218878713188353,,,0,https://pbs.twimg.com/profile_images/1132652867712503809/AYiU2Pi1.jpg
1107966715181228033,1107966000501157889,1552994824000,2019-03-19,18:27:04,SE Asia Standard Time,377690294,rullyisme,RNU,,"Akhirnya dia bilang ini itu, yess gw berasa ditampar, hahaha ahli gizi itukan dia udah sekolah ya, dia lebih tau makanan dan porsi pas buat tubuh sehat tapi lemak gak numpuk.",,[],[],1,0,0,,[],https://twitter.com/RuLLyisMe/status/1107966715181228033,,,0,https://pbs.twimg.com/profile_images/1066140018127695872/Ajfw6EVW.jpg
1089475838670589952,1089460045828349952,1548586256000,2019-01-27,17:50:56,SE Asia Standard Time,2456151422,mazlanmaskon,Malan,,yess akhirnya ade yang sama dengan aku hahaha,['pijahcandy'],[],[],1,0,1,,[],https://twitter.com/MazlanMaskon/status/1089475838670589952,,,0,https://pbs.twimg.com/profile_images/1128285744856854528/vQKEyCqt.jpg
1082280560469323776,1082087528163733504,1546870768000,2019-01-07,21:19:28,SE Asia Standard Time,134457367,chrisraynaldo,Chris Raynaldo,,Aw yess! You watch B99 juga akhirnya! Hahaha,['ecruteal'],[],[],0,0,0,,[],https://twitter.com/ChrisRaynaldo/status/1082280560469323776,,,0,https://pbs.twimg.com/profile_images/1055071369300307968/bgvnkZpm.jpg
1082184807868620800,1082184807868620800,1546847938000,2019-01-07,14:58:58,SE Asia Standard Time,357246845,nuradriana90,Naa.,,Hahaha akhirnya @HaqiemRusli notice ! yess weh mahu meroyan aku dekat office ni hahahaha😂,['haqiemrusli'],[],[],0,0,5,,[],https://twitter.com/Nuradriana90/status/1082184807868620800,,,0,https://pbs.twimg.com/profile_images/1112634988564877312/HMi_vE94.jpg
1073911047730286592,1073845220670763009,1544875320000,2018-12-15,19:02:00,SE Asia Standard Time,804635238,pidodott,🍫,,Yess akhirnya ada org notice. Hahaha. Thanks doh,['rainarmyrule'],[],[],1,0,0,,[],https://twitter.com/pidodott/status/1073911047730286592,,,0,https://pbs.twimg.com/profile_images/1069154897482809344/siq-Mzpl.jpg
1069225123557691393,1069216944006418432,1543758109000,2018-12-02,20:41:49,SE Asia Standard Time,2278760971,amndaprmtha,🌻Manda,,"Dan setelah sekian lama akhirnya ada bb yg bikin gua suka.. Mereka itu unik dan lucu, entah banyak orang bilang jbj tuh semacam grup pelawak hahaha yess I definitely agree bout that! 😂",,[],[],1,0,0,,[],https://twitter.com/amndaprmtha/status/1069225123557691393,,,0,https://pbs.twimg.com/profile_images/1131252827098046465/-xCkyNEf.jpg
1068739913745453056,1068739913745453056,1543642426000,2018-12-01,12:33:46,SE Asia Standard Time,3252213062,abm_mybmr,ABM❤,,"Yess , hahaha . akhirnya 😍",,[],[],0,0,0,,[],https://twitter.com/ABM_MYBMR/status/1068739913745453056,,,0,https://pbs.twimg.com/profile_images/1035914944468856832/kKQVVOwB.jpg
1052256214912925696,1052256062609317888,1539712406000,2018-10-17,00:53:26,SE Asia Standard Time,1007435509935661056,revitacu,Rev,,"Min, yess akhirnya nongol juga hahaha",['xumafans'],[],[],0,0,0,,[],https://twitter.com/revitacu/status/1052256214912925696,,,0,https://pbs.twimg.com/profile_images/1104059617326190592/em2h3scZ.jpg
1052233258174361600,1052224529978646528,1539706932000,2018-10-16,23:22:12,SE Asia Standard Time,2311970180,yulitaekas,에카,,Yess akhirnya ada yang teracuni 😆😂 sini mel naik ajaaa kapalnya masih muat kok hahaha 😂,,[],[],1,0,0,,[],https://twitter.com/yulitaekas/status/1052233258174361600,,,0,https://pbs.twimg.com/profile_images/1130543660230094848/fuJi5GRb.jpg
1048170264553353217,1048010028764913664,1538738239000,2018-10-05,18:17:19,SE Asia Standard Time,81654477,hestiahartini,Hestia Hartini N.,,Hahaha ada kondom yess... Mungkin waktu itu udah kebelet jadi lupa ga pake kondom 😩 untung pada akhirnya dinikahin ye. Kasian putri marino kalo nggak,['hollygreet'],[],[],0,0,0,,[],https://twitter.com/hestiahartini/status/1048170264553353217,,,0,https://pbs.twimg.com/profile_images/1091994012834160640/Ih1Mj9re.jpg
1039922023323983872,1039922023323983872,1536771705000,2018-09-13,00:01:45,SE Asia Standard Time,2364495408,syxfqdxnl,Wxn Syxfq Dxnl,,Yess!!! Acc twitter  lama aku dah aku dapat balik. Sekian lama lupa username dan password akhirnya hari ni semua dapat dipecahkan. Hahaha. Dan jangan terkejutlah sekarang ni aku ada 3 acc twitter.  Hahaha,,[],[],1,0,2,,[],https://twitter.com/syxfqdxnl/status/1039922023323983872,,,0,https://pbs.twimg.com/profile_images/1125135744379408384/tg6hJF1W.jpg
1038386586499481601,1035601860478914560,1536405629000,2018-09-08,18:20:29,SE Asia Standard Time,1009640667822186496,choegrry,‵,,Tau lah kan aku inget ahaha yess akhirnya dapet 100!,,[],[],0,0,0,,[],https://twitter.com/choegrry/status/1038386586499481601,,,0,https://pbs.twimg.com/profile_images/1131608553402146816/fDbrFWH0.jpg
1036857394477686784,1036822309196070913,1536041041000,2018-09-04,13:04:01,SE Asia Standard Time,112329592,lanafad,L.,,"Hahaha yess it's the process yang bikin males dan akhirnya kek nggak usaha banget, idk it just not as excited as it used to be",['stevanianatha'],[],[],0,0,0,,[],https://twitter.com/lanafad/status/1036857394477686784,,,0,https://pbs.twimg.com/profile_images/1130080707559055361/cP2-4Ont.jpg
1024463104904548353,1024463104904548353,1533086012000,2018-08-01,08:13:32,SE Asia Standard Time,69155840,ganitri,Satvika Ganitri,,"Wardah ngeluarin BB cushion OMG YESS!!!!! gak sabar nunggu launching..udah cukmey bgt sama produk2 Wardah..pake BB cushion Laneige hasil akhirnya oke sih,maulah mirip2 (jauh) sama Suzy (apeulah hahaha) tp mehong plus bikin jerawatan..bangga bgt produk lokal makin berjaya 👏🏼👏🏼",,[],[],0,0,0,,[],https://twitter.com/ganitri/status/1024463104904548353,,,0,https://pbs.twimg.com/profile_images/431303325246443521/hSX0ImGx.jpeg
1023400566469287936,1023374424622301184,1532832683000,2018-07-29,09:51:23,SE Asia Standard Time,919441126616064000,frontingkwon,d 💫 캐럿-버디,,yess HAHAHA akhirnya beli itcuw,['kitakamizzu'],[],[],1,0,0,,[],https://twitter.com/frontingkwon/status/1023400566469287936,,,0,https://pbs.twimg.com/profile_images/1131770488491978752/kCUesAy-.jpg
